Model,MAE,RMSE,MAPE,R2
LightGBM,0.0043,0.0077,0.42,0.9999
Ensemble-Optimal,0.0049,0.0081,0.49,0.9999
Ensemble-ML (LGBM60+XGB40),0.0056,0.0088,0.57,0.9999
XGBoost,0.0109,0.0157,1.14,0.9996
Random Forest,0.0157,0.0343,1.46,0.998
Ensemble (LGBM40+XGB30+Prophet20+GRU10),0.1288,0.1707,17.51,0.9509
GRU,0.335,0.4808,39.2,0.6108
LSTM,0.3471,0.4901,40.99,0.5956
BiLSTM,0.3446,0.4905,39.92,0.5948
Prophet,0.51,0.6651,71.05,0.2594
"ARIMA(1, 1, 1)",0.6718,0.9293,57.05,-0.4462
Naive Seasonal,0.6597,0.9408,51.86,-0.4824
Holt-Winters,0.9991,1.2688,88.63,-1.6958
